"DS2ISELE.Code.or.Value","DS2ISELE.Value.Description","DS2ISELE.Count","DS2ISELE.Cumulative","DS2ISELE.Skip.to.Item"
"1 to 400","Range of Values",1043,1043,NA
".","Missing",4656,5699,NA
