"URDCNPLC.Code.or.Value","URDCNPLC.Value.Description","URDCNPLC.Count","URDCNPLC.Cumulative","URDCNPLC.Skip.to.Item"
"0","At or above the detection limit",2719,2719,NA
"1","Below lower detection limit",30,2749,NA
".","Missing",70,2819,NA
