"BMXRECUM.Code.or.Value","BMXRECUM.Value.Description","BMXRECUM.Count","BMXRECUM.Cumulative","BMXRECUM.Skip.to.Item"
"44.3 to 111.2","Range of Values",1230,1230,NA
".","Missing",8413,9643,NA
