"VIXKRG1.Code.or.Value","VIXKRG1.Value.Description","VIXKRG1.Count","VIXKRG1.Cumulative","VIXKRG1.Skip.to.Item"
"0 to 180","Range of Values",6429,6429,NA
"888","Could not obtain",98,6527,NA
".","Missing",453,6980,NA
