"FSD160.Code.or.Value","FSD160.Value.Description","FSD160.Count","FSD160.Cumulative","FSD160.Skip.to.Item"
"1","Yes",1968,1968,NA
"2","No",6945,8913,NA
"7","Refused",10,8923,NA
"9","Don't know",8,8931,NA
".","Missing",2108,11039,NA
