"DR1IPROT.Code.or.Value","DR1IPROT.Value.Description","DR1IPROT.Count","DR1IPROT.Cumulative","DR1IPROT.Skip.to.Item"
"0 to 304.06","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
