"CVDEXCL4.Code.or.Value","CVDEXCL4.Value.Description","CVDEXCL4.Count","CVDEXCL4.Cumulative","CVDEXCL4.Skip.to.Item"
"1","Yes",108,108,NA
"2","No",765,873,NA
".","Missing",3790,4663,NA
