"CIQP70.Code.or.Value","CIQP70.Value.Description","CIQP70.Count","CIQP70.Cumulative","CIQP70.Skip.to.Item"
"0 to 300","Range of Values",29,29,NA
"777","Refused",0,29,NA
"999","Don't know",1,30,NA
".","Missing",748,778,NA
