"LBC157LA.Code.or.Value","LBC157LA.Value.Description","LBC157LA.Count","LBC157LA.Cumulative","LBC157LA.Skip.to.Item"
"0.1 to 7.7","Range of Values",247,247,NA
".","Missing",0,247,NA
