"AUXTPVL.Code.or.Value","AUXTPVL.Value.Description","AUXTPVL.Count","AUXTPVL.Cumulative","AUXTPVL.Skip.to.Item"
"0.2 to 5.7","Range of Values",2738,2738,NA
"777","Refused",2,2740,NA
"888","Could not obtain",31,2771,NA
".","Missing",263,3034,NA
