"SXQ600.Code.or.Value","SXQ600.Value.Description","SXQ600.Count","SXQ600.Cumulative","SXQ600.Skip.to.Item"
"0 to 19","Range of Values",971,971,NA
"77777","Refused",1,972,NA
"99999","Don't know",1,973,NA
".","Missing",4329,5302,NA
