"BIDRICF.Code.or.Value","BIDRICF.Value.Description","BIDRICF.Count","BIDRICF.Cumulative","BIDRICF.Skip.to.Item"
"217.8 to 3098.7","Range of Values",4136,4136,NA
".","Missing",1175,5311,NA
