"LBDSTRSI.Code.or.Value","LBDSTRSI.Value.Description","LBDSTRSI.Count","LBDSTRSI.Cumulative","LBDSTRSI.Skip.to.Item"
"0.226 to 58.821","Range of Values",6488,6488,NA
".","Missing",502,6990,NA
