"PAQ724v.Code.or.Value","PAQ724v.Value.Description","PAQ724v.Count","PAQ724v.Cumulative","PAQ724v.Skip.to.Item"
"22","SOCCER",389,389,NA
".","Missing",9095,9484,NA
