"LBDTHGLC.Code.or.Value","LBDTHGLC.Value.Description","LBDTHGLC.Count","LBDTHGLC.Cumulative","LBDTHGLC.Skip.to.Item"
"0","At or above the detection limit",6358,6358,NA
"1","Below lower detection limit",1908,8266,NA
".","Missing",1041,9307,NA
