"ACD010A.Code.or.Value","ACD010A.Value.Description","ACD010A.Count","ACD010A.Cumulative","ACD010A.Skip.to.Item"
"1","English",5001,5001,NA
"77","Refused",0,5001,NA
"99","Don't know",0,5001,NA
".","Missing",2556,7557,NA
