"LBDF07LC.Code.or.Value","LBDF07LC.Value.Description","LBDF07LC.Count","LBDF07LC.Cumulative","LBDF07LC.Skip.to.Item"
"0","At or above the detection limit",290,290,NA
"1","Below lower detection limit",7,297,NA
".","Missing",4,301,NA
