"SMD070.Code.or.Value","SMD070.Value.Description","SMD070.Count","SMD070.Cumulative","SMD070.Skip.to.Item"
"1 to 70","Range of Values",931,931,NA
"95","95 cigarettes or more",2,933,NA
"777","Refused",0,933,NA
"999","Don't know",1,934,NA
".","Missing",4107,5041,NA
