"LBXMOPCT.Code.or.Value","LBXMOPCT.Value.Description","LBXMOPCT.Count","LBXMOPCT.Cumulative","LBXMOPCT.Skip.to.Item"
"1 to 31.3","Range of Values",7949,7949,NA
".","Missing",883,8832,NA
