"OHD14LAS.Code.or.Value","OHD14LAS.Value.Description","OHD14LAS.Count","OHD14LAS.Cumulative","OHD14LAS.Skip.to.Item"
"0 to 8","Range of Values",2051,2051,NA
"99","Calculation cannot be determined",504,2555,NA
".","Missing",4163,6718,NA
