"DSD103.Code.or.Value","DSD103.Value.Description","DSD103.Count","DSD103.Cumulative","DSD103.Skip.to.Item"
"0 to 30","Range of Values",8002,8002,NA
"7777","Refused",0,8002,NA
"9999","Don't know",8,8010,NA
".","Missing",275,8285,NA
