"RFXC037.Code.or.Value","RFXC037.Value.Description","RFXC037.Count","RFXC037.Cumulative","RFXC037.Skip.to.Item"
"-6.104 to 3.514","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
