"ALQ141Q.Code.or.Value","ALQ141Q.Value.Description","ALQ141Q.Count","ALQ141Q.Cumulative","ALQ141Q.Skip.to.Item"
"0 to 220","Range of Values",3326,3326,NA
"777","Refused",2,3328,NA
"999","Don't know",6,3334,NA
".","Missing",2281,5615,NA
