"CIQG17F.Code.or.Value","CIQG17F.Value.Description","CIQG17F.Count","CIQG17F.Cumulative","CIQG17F.Skip.to.Item"
"1","Yes",51,51,NA
"2","No",29,80,NA
"7","Refused",0,80,NA
"9","Don't know",0,80,NA
".","Missing",848,928,NA
