"DSQTVB2.Code.or.Value","DSQTVB2.Value.Description","DSQTVB2.Count","DSQTVB2.Cumulative","DSQTVB2.Skip.to.Item"
"0.003 to 405","Range of Values",1674,1674,NA
".","Missing",8297,9971,NA
