"RIANSMP.Code.or.Value","RIANSMP.Value.Description","RIANSMP.Count","RIANSMP.Cumulative","RIANSMP.Skip.to.Item"
"2 to 8","Range of Values",301,301,NA
".","Missing",0,301,NA
