"DXDTOFAT.Code.or.Value","DXDTOFAT.Value.Description","DXDTOFAT.Count","DXDTOFAT.Cumulative","DXDTOFAT.Skip.to.Item"
"3560 to 86890.2","Range of Values",3658,3658,NA
".","Missing",1456,5114,NA
