"DSDAF1LC.Code.or.Value","DSDAF1LC.Value.Description","DSDAF1LC.Count","DSDAF1LC.Cumulative","DSDAF1LC.Skip.to.Item"
"0","At or above the detection limit",5279,5279,NA
"1","Below lower detection limit",1548,6827,NA
".","Missing",2613,9440,NA
