"FSQ170.Code.or.Value","FSQ170.Value.Description","FSQ170.Count","FSQ170.Cumulative","FSQ170.Skip.to.Item"
"1","Yes",1989,1989,""
"2","No",7924,9913,""
"7","Refused",34,9947,"FSQ162"
"9","Don't know",32,9979,"FSQ162"
".","Missing",143,10122,""
