"DS1ILYCO.Code.or.Value","DS1ILYCO.Value.Description","DS1ILYCO.Count","DS1ILYCO.Cumulative","DS1ILYCO.Skip.to.Item"
"55 to 50000","Range of Values",631,631,NA
".","Missing",5275,5906,NA
