"DR1TFF.Code.or.Value","DR1TFF.Value.Description","DR1TFF.Count","DR1TFF.Cumulative","DR1TFF.Skip.to.Item"
"0 to 2987","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
