"OSQ090j.Code.or.Value","OSQ090j.Value.Description","OSQ090j.Count","OSQ090j.Cumulative","OSQ090j.Skip.to.Item"
"1","Yes",4,4,"OSQ120j"
"2","No",2,6,""
"7","Refused",0,6,"OSQ120j"
"9","Don't know",0,6,"OSQ120j"
".","Missing",4973,4979,""
