"OHD29LAS.Code.or.Value","OHD29LAS.Value.Description","OHD29LAS.Count","OHD29LAS.Cumulative","OHD29LAS.Skip.to.Item"
"0 to 9","Range of Values",2453,2453,NA
"99","Calculation cannot be determined",359,2812,NA
".","Missing",4318,7130,NA
