"DR1IB12A.Code.or.Value","DR1IB12A.Value.Description","DR1IB12A.Count","DR1IB12A.Cumulative","DR1IB12A.Skip.to.Item"
"0 to 89.23","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
