"DXXHELI.Code.or.Value","DXXHELI.Value.Description","DXXHELI.Count","DXXHELI.Cumulative","DXXHELI.Skip.to.Item"
"2017.6 to 5538.2","Range of Values",4979,4979,NA
".","Missing",801,5780,NA
