"DSQITFAT.Code.or.Value","DSQITFAT.Value.Description","DSQITFAT.Count","DSQITFAT.Cumulative","DSQITFAT.Skip.to.Item"
"0.01 to 43.5","Range of Values",707,707,NA
".","Missing",7693,8400,NA
