"LBCF02.Code.or.Value","LBCF02.Value.Description","LBCF02.Count","LBCF02.Cumulative","LBCF02.Skip.to.Item"
"1.17 to 11.7","Range of Values",246,246,NA
".","Missing",1,247,NA
