"LBDF02LC.Code.or.Value","LBDF02LC.Value.Description","LBDF02LC.Count","LBDF02LC.Cumulative","LBDF02LC.Skip.to.Item"
"0","detectable result",8,8,NA
"1","below detectable limit",1227,1235,NA
".","Missing",1312,2547,NA
