"BIXS245K.Code.or.Value","BIXS245K.Value.Description","BIXS245K.Count","BIXS245K.Cumulative","BIXS245K.Skip.to.Item"
"130.15 to 875.77","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
