"MCQ370b.Code.or.Value","MCQ370b.Value.Description","MCQ370b.Count","MCQ370b.Cumulative","MCQ370b.Skip.to.Item"
"1","Yes",3557,3557,NA
"2","No",2616,6173,NA
"7","Refused",1,6174,NA
"9","Don't know",0,6174,NA
".","Missing",3190,9364,NA
