"ENQ060.Code.or.Value","ENQ060.Value.Description","ENQ060.Count","ENQ060.Cumulative","ENQ060.Skip.to.Item"
"1","Yes",3714,3714,NA
"2","No",2466,6180,NA
"7","Refused",0,6180,NA
"9","Don't know",0,6180,NA
".","Missing",2015,8195,NA
