"SDMVPSU.Code.or.Value","SDMVPSU.Value.Description","SDMVPSU.Count","SDMVPSU.Cumulative","SDMVPSU.Skip.to.Item"
"1 to 2","Range of Values",10122,10122,NA
".","Missing",0,10122,NA
