"LBDBECSI.Code.or.Value","LBDBECSI.Value.Description","LBDBECSI.Count","LBDBECSI.Cumulative","LBDBECSI.Skip.to.Item"
"0.011 to 6.241","Range of Values",7254,7254,NA
".","Missing",832,8086,NA
