"URDAPELC.Code.or.Value","URDAPELC.Value.Description","URDAPELC.Count","URDAPELC.Cumulative","URDAPELC.Skip.to.Item"
"0","At or above the detection limit",48,48,NA
"1","Below lower detection limit",2443,2491,NA
".","Missing",121,2612,NA
