"DSQTFIBE.Code.or.Value","DSQTFIBE.Value.Description","DSQTFIBE.Count","DSQTFIBE.Cumulative","DSQTFIBE.Skip.to.Item"
"0.015 to 18","Range of Values",171,171,NA
".","Missing",9800,9971,NA
