"OSQ120b.Code.or.Value","OSQ120b.Value.Description","OSQ120b.Count","OSQ120b.Cumulative","OSQ120b.Skip.to.Item"
"1","Yes",107,107,""
"2","No",187,294,"OSQ060"
"7","Refused",0,294,"OSQ060"
"9","Don't know",0,294,"OSQ060"
".","Missing",5641,5935,""
