"MCQ260FB.Code.or.Value","MCQ260FB.Value.Description","MCQ260FB.Count","MCQ260FB.Cumulative","MCQ260FB.Skip.to.Item"
"2","Father",394,394,"MCQ250G"
".","Missing",9099,9493,""
