"AUXRR125.Code.or.Value","AUXRR125.Value.Description","AUXRR125.Count","AUXRR125.Cumulative","AUXRR125.Skip.to.Item"
"-42 to 49","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
