"BAQ075.Code.or.Value","BAQ075.Value.Description","BAQ075.Count","BAQ075.Cumulative","BAQ075.Skip.to.Item"
"1","Less than 1 year ago,",179,179,NA
"2","1 to 5 years ago, or",118,297,NA
"3","5 years or more ago?",114,411,NA
"7","Refused",0,411,NA
"9","Don't know",4,415,NA
".","Missing",3071,3486,NA
