"DRD370D.Code.or.Value","DRD370D.Value.Description","DRD370D.Count","DRD370D.Cumulative","DRD370D.Skip.to.Item"
"1","Yes",745,745,""
"2","No",5206,5951,"DRD370E"
".","Missing",4302,10253,""
