"AUXU6KL.Code.or.Value","AUXU6KL.Value.Description","AUXU6KL.Count","AUXU6KL.Cumulative","AUXU6KL.Skip.to.Item"
"-10 to 120","Range of Values",2166,2166,NA
"666","No response",19,2185,NA
"888","Could not obtain",17,2202,NA
".","Missing",166,2368,NA
