"URDPROLC.Code.or.Value","URDPROLC.Value.Description","URDPROLC.Count","URDPROLC.Cumulative","URDPROLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2461,2461,NA
".","Missing",295,2756,NA
