"BPQ050C.Code.or.Value","BPQ050C.Value.Description","BPQ050C.Count","BPQ050C.Cumulative","BPQ050C.Skip.to.Item"
"1","Yes",941,941,NA
"2","No",151,1092,NA
"7","Refused",0,1092,NA
"9","Don't know",0,1092,NA
".","Missing",5542,6634,NA
