"DXXRAA.Code.or.Value","DXXRAA.Value.Description","DXXRAA.Count","DXXRAA.Cumulative","DXXRAA.Skip.to.Item"
"81.95 to 404.91","Range of Values",4973,4973,NA
".","Missing",807,5780,NA
