"URDMX6LC.Code.or.Value","URDMX6LC.Value.Description","URDMX6LC.Count","URDMX6LC.Cumulative","URDMX6LC.Skip.to.Item"
"0","At or above detection limit",2394,2394,NA
"1","Below lower detection limit",4,2398,NA
".","Missing",107,2505,NA
