"OHD06LAM.Code.or.Value","OHD06LAM.Value.Description","OHD06LAM.Count","OHD06LAM.Cumulative","OHD06LAM.Skip.to.Item"
"0 to 8","Range of Values",1570,1570,NA
"99","Calculation cannot be determined",218,1788,NA
".","Missing",4970,6758,NA
