"DRD350GQ.Code.or.Value","DRD350GQ.Value.Description","DRD350GQ.Count","DRD350GQ.Cumulative","DRD350GQ.Skip.to.Item"
"1 to 5","Range of Values",110,110,NA
".","Missing",10367,10477,NA
