"LBDRPLSI.Code.or.Value","LBDRPLSI.Value.Description","LBDRPLSI.Count","LBDRPLSI.Cumulative","LBDRPLSI.Skip.to.Item"
"0.031 to 0.925","Range of Values",6946,6946,NA
".","Missing",1140,8086,NA
