"WHQ040.Code.or.Value","WHQ040.Value.Description","WHQ040.Count","WHQ040.Cumulative","WHQ040.Skip.to.Item"
"1","More,",624,624,NA
"2","Less, or",3437,4061,NA
"3","Stay about the same?",2068,6129,NA
"7","Refused",2,6131,NA
"9","Don't know",8,6139,NA
".","Missing",0,6139,NA
