"DS2ACTSS.Code.or.Value","DS2ACTSS.Value.Description","DS2ACTSS.Count","DS2ACTSS.Cumulative","DS2ACTSS.Skip.to.Item"
"0.1 to 9","Range of Values",5813,5813,NA
"999","Don't know",0,5813,NA
".","Missing",90,5903,NA
