"OHD30LAM.Code.or.Value","OHD30LAM.Value.Description","OHD30LAM.Count","OHD30LAM.Cumulative","OHD30LAM.Skip.to.Item"
"0 to 7","Range of Values",2171,2171,NA
"99","Calculation cannot be determined",643,2814,NA
".","Missing",4316,7130,NA
