"AUDTYL50.Code.or.Value","AUDTYL50.Value.Description","AUDTYL50.Count","AUDTYL50.Cumulative","AUDTYL50.Skip.to.Item"
"0 to 2.59","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
