"FFQ0098A.Code.or.Value","FFQ0098A.Value.Description","FFQ0098A.Count","FFQ0098A.Cumulative","FFQ0098A.Skip.to.Item"
1,"Almost never or never",767,767,NA
2,"About 1/4 of the time",650,1417,NA
3,"About 1/2 of the time",853,2270,NA
4,"About 3/4 of the time",651,2921,NA
5,"Almost always or always",3055,5976,NA
88,"Blank",494,6470,NA
99,"Error",2,6472,NA
