"DS2IFDFE.Code.or.Value","DS2IFDFE.Value.Description","DS2IFDFE.Count","DS2IFDFE.Cumulative","DS2IFDFE.Skip.to.Item"
"3 to 20400","Range of Values",1572,1572,NA
".","Missing",4026,5598,NA
